slug,route,source_file,title,date,year,publication,article_category,collections,publication_status,editorial_issue_type,canonical_file,production_title,book_author,publisher,subject_people,company,venue,city,coordinates,people,roles,production_groups,media,word_count
1970-10-02-inside-the-shell-of-technique,/reviews/1970-10-02-inside-the-shell-of-technique/,1970.10.02.The_Guardian.Inside_The_Shell_Of_Technique.md,Inside The Shell Of Technique,1970-10-02,1970,The Guardian,Theatre Interview,"[""UK Collection""]",publish,clean_manual_transcription,,Oedipus,,,,National Theatre / Young Vic,Young Vic,"London, England",[],"[""Annabel Leventon"", ""Roland Joffe"", ""Ronald Pickup"", ""Sophocles""]","{""director"": [""Roland Joffe""], ""actors"": [""Ronald Pickup"", ""Annabel Leventon""], ""playwright"": [""Sophocles""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}",[],[],928
1971-03-03-brecht-s-man,/reviews/1971-03-03-brecht-s-man/,1971.03.03.The_Guardian.Brecht_s_Man.md,Brecht's Man,1971-03-03,1971,The Guardian,Profile,"[""UK Collection""]",publish,clean_manual_transcription,,Man is Man,,,,Royal Court Theatre,Royal Court Theatre,"London, England",[],"[""Bertolt Brecht"", ""Georgia Brown"", ""Henry Woolf"", ""Richard Yeeud"", ""Roddy Maude-Roxby"", ""Steve Gooch"", ""Tony Hancock"", ""Trevor Peacock"", ""William Gaskill"", ""Zero Mostel""]","{""director"": [""William Gaskill""], ""actors"": [""Henry Woolf"", ""Zero Mostel"", ""Tony Hancock"", ""Georgia Brown"", ""Trevor Peacock"", ""Roddy Maude-Roxby""], ""playwright"": [""Bertolt Brecht"", ""Steve Gooch""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [""William Gaskill""], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": [""Richard Yeeud""]}",[],[],2082
1971-05-13-first-cage-your-actors,/reviews/1971-05-13-first-cage-your-actors/,1971.05.13.The_Guardian.First_Cage_Your_Actors.md,First Cage Your Actors,1971-05-13,1971,The Guardian,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Coriolanus,,,,National Theatre,Old Vic,"London, England",[],"[""Alan Howard"", ""Anthony Hopkins"", ""Derek Jacobi"", ""Edward Woodward"", ""Frank Dunlop"", ""John Dexter"", ""Laurence Olivier"", ""Maggie Smith"", ""Michael Blakemore"", ""Patrick Garland"", ""Paul Scofield"", ""William Shakespeare""]","{""director"": [""John Dexter"", ""Patrick Garland"", ""Laurence Olivier"", ""Michael Blakemore"", ""Frank Dunlop""], ""actors"": [""Anthony Hopkins"", ""Edward Woodward"", ""Maggie Smith"", ""Paul Scofield"", ""Alan Howard"", ""Derek Jacobi""], ""playwright"": [""William Shakespeare""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}",[],[],871
1971-05-29-cleotonic,/reviews/1971-05-29-cleotonic/,1971.05.29.The_Guardian.Cleotonic.md,Cleotonic,1971-05-29,1971,The Guardian,Music Interview,"[""UK Collection""]",publish,clean_manual_transcription,,,,,,,Ronnie Scott's; Wavendon,"London, England; Wavendon",[],"[""Alan Jay Lerner"", ""Burton Lane"", ""Cleo Laine"", ""Cole Porter"", ""John Dankworth"", ""Joni Mitchell"", ""Lorenz Hart"", ""Michel Legrand"", ""Noël Coward"", ""Ronnie Scott""]","{""director"": [], ""actors"": [], ""playwright"": [], ""composer_lyricist"": [""Burton Lane"", ""Alan Jay Lerner"", ""Cole Porter"", ""Lorenz Hart"", ""Noël Coward"", ""Joni Mitchell"", ""Michel Legrand""], ""musical_director"": [""John Dankworth""], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [""Cleo Laine"", ""John Dankworth"", ""Ronnie Scott""], ""performers"": [""Cleo Laine""], ""artists"": []}",[],[],1088
1973-04-29-hands-across-the-channel,/reviews/1973-04-29-hands-across-the-channel/,1973.04.29.Cushman_Collected.Hands_Across_the_Channel.md,Hands Across The Channel,1973-04-29,1973,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Richard III; The Two Gentlemen of Verona; Misalliance; Captain Oates' Left Sock,,,,Comedie Francaise; Royal Shakespeare Company,Phoenix Theatre; Royal Court Theatre Upstairs,"London, England",[],"[""Bill Fraser"", ""Caroline Blakiston"", ""Denise Gence"", ""Galt MacDermot"", ""George Bernard Shaw"", ""Jacques Charon"", ""Janet Webb"", ""John Antrobus"", ""John Tordoff"", ""Nicholas Wright"", ""Robert Hirsch"", ""Terry Hands"", ""William Shakespeare""]","{""director"": [], ""actors"": [], ""playwright"": [], ""composer_lyricist"": [""Galt MacDermot""], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Richard III"", ""company"": [""Comedie Francaise"", ""Royal Shakespeare Company""], ""venue"": [""Aldwych Theatre""], ""director"": [""Terry Hands""], ""actors"": [""Denise Gence"", ""Jacques Charon"", ""Robert Hirsch""], ""playwright"": [""William Shakespeare""]}, {""order"": ""2"", ""production_title"": ""Misalliance"", ""venue"": [""Mermaid Theatre""], ""actors"": [""John Tordoff"", ""Caroline Blakiston"", ""Bill Fraser""], ""playwright"": [""George Bernard Shaw""]}, {""order"": ""3"", ""production_title"": ""Captain Oates' Left Sock"", ""venue"": [""Theatre Upstairs""], ""director"": [""Nicholas Wright""], ""actors"": [""Janet Webb""], ""playwright"": [""John Antrobus""]}]",[],1167
1973-05-06-rock-around-the-bard,/reviews/1973-05-06-rock-around-the-bard/,1973.05.06.The_Observer.Rock_Around_The_Bard.md,Rock Around The Bard,1973-05-06,1973,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,The Two Gentlemen of Verona,,,,,Phoenix Theatre,"London, England",[],"[""Galt MacDermot"", ""Tom Gallacher"", ""William Shakespeare""]","{""director"": [], ""actors"": [], ""playwright"": [""William Shakespeare"", ""Tom Gallacher""], ""composer_lyricist"": [""Galt MacDermot""], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}",[],[],815
1973-06-03-gypsy-triumphant,/reviews/1973-06-03-gypsy-triumphant/,1973.06.03.The_Observer.Gypsy_Triumphant.md,Gypsy Triumphant,1973-06-03,1973,The Observer,Theatre Review,"[""UK Collection""]",publish,clean_manual_transcription,,Gypsy,,,,,Piccadilly Theatre,"London, England",[],"[""Angela Lansbury""]","{""director"": [], ""actors"": [""Angela Lansbury""], ""playwright"": [], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}",[],[],219
1973-06-17-noh-to-vanbrugh,/reviews/1973-06-17-noh-to-vanbrugh/,1973.06.17.Cushman_Collected.Noh_to_Vanbrugh.md,Noh To Vanbrugh,1973-06-17,1973,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""The Stratford Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Umewaka Noh Troupe; As You Like It; The Malcontent; The Provok'd Wife,,,,Umewaka Noh Troupe; National Theatre,Aldwych Theatre,"London, England",[],"[""Brian Glover"", ""Buzz Goodbody"", ""Clement McCallin"", ""David Suchet"", ""Derek Godfrey"", ""Eileen Atkins"", ""Hazel Hughes"", ""John Marston"", ""John Vanbrugh"", ""Jonathan Miller"", ""Richard Pasco"", ""Tony Church"", ""Umewaka Noh Troupe"", ""William Shakespeare""]","{""director"": [""Buzz Goodbody"", ""Jonathan Miller""], ""actors"": [""Eileen Atkins"", ""David Suchet"", ""Brian Glover"", ""Clement McCallin"", ""Tony Church"", ""Richard Pasco"", ""Hazel Hughes"", ""Derek Godfrey""], ""playwright"": [""William Shakespeare"", ""John Marston"", ""John Vanbrugh""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [""Umewaka Noh Troupe""], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Umewaka Noh Troupe"", ""company"": [""Umewaka Noh Troupe""], ""performers"": [""Umewaka Noh Troupe""]}, {""order"": ""2"", ""production_title"": ""As You Like It"", ""company"": [""National Theatre""], ""director"": [""Buzz Goodbody""], ""actors"": [""Eileen Atkins"", ""David Suchet"", ""Brian Glover"", ""Clement McCallin"", ""Richard Pasco"", ""Tony Church""], ""playwright"": [""William Shakespeare""]}, {""order"": ""3"", ""production_title"": ""The Malcontent"", ""city"": [""London, England""], ""director"": [""Jonathan Miller""], ""actors"": [""Hazel Hughes"", ""Derek Godfrey""], ""playwright"": [""John Marston""]}, {""order"": ""4"", ""production_title"": ""The Provok'd Wife"", ""playwright"": [""John Vanbrugh""]}]",[],1178
1973-06-24-two-from-the-critics,/reviews/1973-06-24-two-from-the-critics/,1973.06.24.The_Observer.Two_From_The_Critics.md,Two From The Critics,1973-06-24,1973,The Observer,Theatre Review,"[""UK Collection""]",publish,clean_manual_transcription,,The Houseboy; Sing of the Times; Nuts; Beckett Shorts; Umabatha,,,,,Open Space; Vaudeville Theatre; Theatre Workshop; Young Vic; Aldwych Theatre,"London, England",[],"[""Bill Wallis"", ""Danny La Rue"", ""Frankie Howerd"", ""Irving Wardle"", ""Jeremy Kingston"", ""Joan Littlewood"", ""Kenneth More"", ""Kent Baker"", ""Nicholas Selby"", ""Philip Donaghy"", ""Samuel Beckett"", ""Timothy West"", ""Tom Stoppard""]","{""director"": [], ""actors"": [""Kenneth More"", ""Frankie Howerd""], ""playwright"": [], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""The Houseboy"", ""venue"": [""Open Space""], ""actors"": [""Philip Donaghy"", ""Nicholas Selby"", ""Timothy West""], ""playwright"": [""Irving Wardle""]}, {""order"": ""2"", ""production_title"": ""Sing of the Times"", ""venue"": [""Vaudeville Theatre""], ""playwright"": [""Jeremy Kingston""]}, {""order"": ""3"", ""production_title"": ""Nuts"", ""company"": [""Theatre Workshop""], ""venue"": [""Theatre Workshop""], ""performers"": [""Kent Baker"", ""Bill Wallis"", ""Joan Littlewood"", ""Danny La Rue""]}, {""order"": ""4"", ""production_title"": ""Beckett Shorts"", ""venue"": [""Young Vic""], ""playwright"": [""Samuel Beckett"", ""Tom Stoppard""]}, {""order"": ""5"", ""production_title"": ""Umabatha"", ""venue"": [""Aldwych Theatre""]}]",[],1100
1973-09-02-a-chekhovian-powerhouse,/reviews/1973-09-02-a-chekhovian-powerhouse/,1973.09.02.The_Observer.A_Chekhovian_Powerhouse.md,A Chekhovian Powerhouse,1973-09-02,1973,The Observer,Theatre Review,"[""UK Collection""]",publish,clean_manual_transcription,,The Wood Demon; Woyzeck; Drums in the Night; Chicago Sunday School for Anarchists; Thunder,,,,Actors' Company; Young Lyceum Company; Bradford University Drama Group,Royal Lyceum Theatre; Assembly Hall; Traverse Theatre; Poole Theatre,Edinburgh,[],"[""Anton Chekhov"", ""Bertolt Brecht"", ""C. P. Taylor"", ""David Giles"", ""Georg Büchner"", ""Ian McKellen"", ""John Woodvine"", ""Michael Almaz"", ""Radu Penciulescu"", ""Richard Crane"", ""Robert Eddison"", ""Robin Ellis"", ""Roland Rees"", ""Tenniel Evans""]","{""director"": [""David Giles"", ""Radu Penciulescu"", ""Roland Rees""], ""actors"": [""Robin Ellis"", ""Tenniel Evans"", ""Ian McKellen"", ""Robert Eddison"", ""John Woodvine""], ""playwright"": [""Anton Chekhov"", ""Georg Büchner"", ""Bertolt Brecht"", ""C. P. Taylor"", ""Michael Almaz"", ""Richard Crane""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""The Wood Demon"", ""company"": [""Actors' Company""], ""venue"": [""Royal Lyceum Theatre""], ""director"": [""David Giles""], ""actors"": [""Robin Ellis"", ""Tenniel Evans"", ""Ian McKellen"", ""Robert Eddison"", ""John Woodvine""], ""playwright"": [""Anton Chekhov""]}, {""order"": ""2"", ""production_title"": ""Woyzeck"", ""company"": [""Young Lyceum Company""], ""venue"": [""Assembly Hall""], ""director"": [""Radu Penciulescu""], ""playwright"": [""Georg Büchner""]}, {""order"": ""3"", ""production_title"": ""Drums in the Night"", ""venue"": [""Traverse Theatre""], ""director"": [""Roland Rees""], ""playwright"": [""Bertolt Brecht"", ""C. P. Taylor""]}, {""order"": ""4"", ""production_title"": ""Chicago Sunday School for Anarchists"", ""venue"": [""Poole Theatre""], ""playwright"": [""Michael Almaz""]}, {""order"": ""5"", ""production_title"": ""Thunder"", ""company"": [""Bradford University Drama Group""], ""playwright"": [""Richard Crane""]}]",[],1207
